Feature_0,Feature_1,Feature_2,Feature_3,Feature_4,Target
0.7638789064272975,0.5117560623971934,0.1094339207475632,0.27830492932902684,0.984985163331943,0
0.03576798545539428,0.5728053759737015,0.17534286485872952,0.23453211318471423,0.7894354918274561,1
0.815764003238958,0.9269800321646974,0.5687193210842377,0.7076997510873754,0.9748074675313584,0
0.18265359095820344,0.004736606858817272,0.6231829746170761,0.9437707717433469,0.8056722832186813,1
0.909069655806165,0.9767835249835861,0.8453638900282211,0.45410497233702685,0.05002464724565514,0
0.6361879185968528,0.20652117195555497,0.48457218806606295,0.08618982063446345,0.3847430226287053,1
0.9387017972002358,0.2379964792889534,0.5484966400524676,0.499218581138825,0.8889394119128371,1
0.9036751738221915,0.8111303321803709,0.20147908615993493,0.5185340974755694,0.24788684653161508,0
0.556714522432441,0.2610206658817127,0.14055876584029503,0.924056594539058,0.01402850314278492,0
0.8081115058808883,0.8406347863952812,0.5328155488446759,0.16719874833318638,0.033870551082606726,0
0.6281077969481415,0.3105032506153429,0.7642147873073013,0.7404547600458606,0.7814140626068135,1
0.5870818736847393,0.5780549191620045,0.9780410885326429,0.5003324991133226,0.04295223308545548,0
0.5966524432773815,0.10568984538829129,0.718454335427938,0.8792977371883981,0.4667920304967451,1
0.31008498691202,0.6626018904874564,0.054008678458413284,0.8977173808589898,0.8420433773922239,1
0.7918846138556072,0.34275876352489887,0.32478129232137287,0.22279884077276702,0.39061681362119094,1
0.3966798253528777,0.18226921122829776,0.3161694608057678,0.7161164177718664,0.5248060863536927,1
0.49580036302801,0.14718946696487567,0.3431309939698777,0.6065366831727341,0.7262346089766512,1
0.6104836200737751,0.1112876047876179,0.453896242839811,0.9123074274090935,0.1614748973930069,0
0.43322180647932507,0.35488226217918706,0.2769435223713249,0.5007999788837858,0.5786269592094628,1
0.6661450302909256,0.8317391035363664,0.10900109945162806,0.2146444043340664,0.487225885222188,0
0.40820679688804085,0.6698341422414328,0.24903970309735468,0.6902225828513137,0.7955766897826771,0
0.7942259922136858,0.36245000156071117,0.1146355856932133,0.2916055463416427,0.4155130659100442,0
0.7359788322966196,0.9995384983002994,0.234736079679859,0.2764210059745409,0.5328010858179977,1
0.4121886974783914,0.5421100477569004,0.33189803997113676,0.5679323232728336,0.6736601705771517,0
0.485775993149168,0.28356150928039126,0.6373640590390367,0.5068176659721694,0.9876461433618305,0
0.5122654285431296,0.0971638503743405,0.5643200653494214,0.6344966230205528,0.15601485695567452,1
0.029693735867020177,0.2509506232753953,0.4068838066100011,0.2811778678779824,0.9310017763946608,1
0.7609275881604084,0.23661518648736468,0.6073222154275779,0.045428531303196795,0.5137870256514357,1
0.9009246166492199,0.00018708437106207398,0.5731676900824312,0.7192707514112323,0.7819935179354714,0
0.2506273715907771,0.7184709764879336,0.3541921687996773,0.37502656588770134,0.45447858822073506,1
0.6349906446461521,0.30611816611964815,0.6653654195723274,0.3752251763416422,0.3471929392442713,0
0.8842148124939538,0.8719232996213429,0.0642181596651481,0.4283461502993855,0.9682526465399148,1
0.6116871133760144,0.25092487032332633,0.9307857794696756,0.26205679230149126,0.4279919555760906,1
0.6735317144137042,0.2961978756706106,0.50600074739952,0.848783357691113,0.10143256342601703,0
0.519179730042196,0.14899598308944006,0.799662029208604,0.27320657810568505,0.14174821408071192,0
0.36138944946608753,0.2826148003547093,0.4435005973183306,0.968514898377829,0.24857011238311655,1
0.20630279732219692,0.6124036347603533,0.7014158518027563,0.34668332926840884,0.9232068816135779,1
0.24653941007117908,0.17941428245369706,0.58293809836933,0.8345069485290184,0.94022559573224,0
0.08032229694155124,0.04628895315302595,0.3245248766401362,0.26362946494887274,0.34229908943629783,1
0.5728203855226569,0.24933374202207703,0.22902833965406133,0.609102495861347,0.368858490498587,0
0.7573524171802638,0.020182122257107915,0.6335609384098515,0.8083623496186209,0.9231518443384982,1
0.06937267195557573,0.7350466075615468,0.12508894311217555,0.569258245959254,0.3750006091667131,1
0.5287458016603841,0.47356394848033434,0.39656103228575246,0.5775239344095429,0.19776337750229722,1
0.8074215853211477,0.013071975172649464,0.11113912336792042,0.8690787340783018,0.012634135712635497,1
0.7251646374640932,0.4659249465385784,0.25251823639354165,0.7930433092453995,0.8853718800908926,0
0.43910794839654,0.76906954043377,0.5391177130359728,0.9207494130470361,0.2840333429986497,1
0.11335308317457538,0.9232121039105385,0.21224795578403888,0.09633057376754883,0.04404408854705344,0
0.5924644947515942,0.07282863706076903,0.6088384219061754,0.6351944084495716,0.9772502412448758,1
0.7921213961018092,0.7506935097826848,0.7075568326583598,0.006994250375640054,0.2778413806593054,1
0.34994818975654995,0.6343800353743232,0.49613099221928725,0.3999402886545578,0.9151092816497538,0
0.9707432877480635,0.1457325355810195,0.34404247806462007,0.6716734623466846,0.37180581453719397,0
0.8176862874443762,0.2970515932476152,0.3833258659379041,0.35134829314344496,0.5057657396650137,0
0.410243298216742,0.5974924168404562,0.6110614571493217,0.33965589268990415,0.29859883703833134,1
0.25315420758119944,0.8954328709543883,0.1607419279422586,0.9723715102654462,0.9494700040489845,1
0.18340511723497088,0.22173923205047075,0.01603314683099455,0.0189710407499879,0.5360094225344811,1
0.5956375021111835,0.513220600435903,0.7170311242744336,0.16614050605643127,0.4849220814484946,1
0.2850264556781784,0.9883810351997713,0.643766136262335,0.48398772274801205,0.013620330321811092,0
0.0654967130949431,0.44136336044935387,0.467341539509614,0.2775721114457732,0.9854727477697344,1
0.6378566638750317,0.6583837627064871,0.550347451382311,0.32527019749510344,0.07845677171862231,1
0.8568251450513948,0.72288720677765,0.6644521775532357,0.46360705501679667,0.5448997704029307,1
0.6111639442317233,0.49414377860753333,0.9249881437480892,0.3148988412754854,0.30465067542685254,1
0.05517474671555478,0.364687026931121,0.16086694780532151,0.691496763515219,0.679981001480245,1
0.22307725230706998,0.445779955077075,0.7720580616512288,0.5630455730394837,0.5223084986737434,0
0.20132709637102086,0.9435973305921227,0.8168421116003304,0.7922120636264751,0.1526853392809866,1
0.9284051322496781,0.042035312167712724,0.5608317861277684,0.9646633812608407,0.6735889792466451,0
0.8479447984424112,0.19168075036225907,0.325514983246901,0.21587835420981205,0.48153022385544575,0
0.7742206347392153,0.19464295204669113,0.3185191059467338,0.8042123582154906,0.7744993965452416,0
0.8972745828596433,0.9126283459565168,0.18149313907390996,0.7506900205356073,0.6569142035870267,1
0.5330234699163249,0.9398135579695579,0.8188474049184644,0.7596434007886075,0.8625256499163736,1
0.7569605447195906,0.8478115270210713,0.6679372169457793,0.5684847581025113,0.1883606806727841,1
0.5314751225791686,0.92959188625246,0.42583068981627326,0.2218972500203772,0.6874224330124585,0
0.7502132179375133,0.2700831107670666,0.9905186416547888,0.44297006328067,0.7138747425192653,1
0.02414045658305841,0.7393513108181149,0.719744362497946,0.7088259076042962,0.9616630213727699,1
